krets,parti,stemmer
76,KRF,58
76,MDG,86
76,V,99
76,H,636
76,FRP,259
76,ALLI,4
76,DEMN,3
76,HELSE,2
76,KRISTNE,4
76,KYST,1
76,LIBS,12
76,PIR,7
76,FI,1
77,A,574
77,SV,221
77,RØDT,42
77,SP,82
77,KRF,123
77,MDG,91
77,V,157
77,H,682
77,FRP,186
77,ALLI,2
77,DEMN,1
77,HELSE,4
77,KRISTNE,3
77,KYST,1
77,LIBS,2
77,PIR,6
77,FI,3
