krets,parti,stemmer
54,PP,0
54,FOLKEM,0
55,A,502
55,SV,103
55,RØDT,16
55,SP,36
55,KRF,120
55,V,167
55,H,947
55,FRP,236
55,DEMN,0
55,KRISTNE,11
55,KYST,1
55,MDG,81
55,NKP,0
55,PIR,9
55,PP,5
55,FOLKEM,2
56,A,176
56,SV,38
56,RØDT,3
56,SP,28
56,KRF,45
56,V,58
56,H,524
56,FRP,168
56,DEMN,0
56,KRISTNE,0
56,KYST,0
56,MDG,29
56,NKP,0
56,PIR,6
56,PP,1
56,FOLKEM,0
57,A,236
57,SV,47
57,RØDT,5
57,SP,28
57,KRF,42
57,V,84
57,H,505
57,FRP,122
57,DEMN,0
57,KRISTNE,4
57,KYST,1
57,MDG,23
57,NKP,0
57,PIR,3
57,PP,1
57,FOLKEM,1
58,A,304
58,SV,41
58,RØDT,7
58,SP,30
58,KRF,129
58,V,84
58,H,530
58,FRP,231
58,DEMN,0
58,KRISTNE,10
58,KYST,0
58,MDG,19
58,NKP,1
58,PIR,4
58,PP,1
58,FOLKEM,2
59,A,410
59,SV,67
59,RØDT,6
59,SP,35
59,KRF,102
59,V,122
59,H,982
59,FRP,303
59,DEMN,2
59,KRISTNE,11
59,KYST,2
59,MDG,47
59,NKP,0
59,PIR,6
59,PP,2
59,FOLKEM,0
61,A,473
61,SV,86
61,RØDT,18
61,SP,24
61,KRF,79
61,V,69
61,H,456
61,FRP,232
61,DEMN,1
61,KRISTNE,5
61,KYST,2
61,MDG,37
61,NKP,0
61,PIR,5
61,PP,5
61,FOLKEM,0
62,A,737
62,SV,155
62,RØDT,24
62,SP,37
62,KRF,99
62,V,121
62,H,730
62,FRP,381
62,DEMN,0
62,KRISTNE,20
62,KYST,2
62,MDG,55
62,NKP,0
62,PIR,13
62,PP,6
62,FOLKEM,2
63,A,1208
63,SV,209
63,RØDT,34
63,SP,63
63,KRF,182
63,V,255
63,H,1416
63,FRP,570
63,DEMN,3
63,KRISTNE,15
63,KYST,4
63,MDG,99
63,NKP,0
63,PIR,10
63,PP,5
63,FOLKEM,3
67,A,810
67,SV,108
67,RØDT,22
67,SP,29
67,KRF,133
67,V,126
67,H,931
67,FRP,506
67,DEMN,9
67,KRISTNE,13
67,KYST,3
67,MDG,65
67,NKP,2
67,PIR,10
67,PP,9
67,FOLKEM,4
68,A,766
68,SV,91
68,RØDT,23
68,SP,32
68,KRF,104
68,V,129
68,H,820
68,FRP,527
68,DEMN,2
68,KRISTNE,14
68,KYST,3
68,MDG,61
68,NKP,0
68,PIR,13
68,PP,6
68,FOLKEM,2
69,A,330
69,SV,30
69,RØDT,8
69,SP,12
69,KRF,67
69,V,60
69,H,478
69,FRP,200
69,DEMN,0
69,KRISTNE,1
69,KYST,2
69,MDG,27
69,NKP,0
69,PIR,0
69,PP,4
69,FOLKEM,0
70,A,489
70,SV,68
70,RØDT,5
70,SP,17
70,KRF,76
70,V,90
70,H,763
70,FRP,249
70,DEMN,2
70,KRISTNE,5
70,KYST,0
70,MDG,38
70,NKP,1
70,PIR,7
70,PP,2
70,FOLKEM,0
71,A,263
71,SV,40
71,RØDT,9
71,SP,14
71,KRF,63
71,V,32
71,H,305
71,FRP,151
71,DEMN,1
71,KRISTNE,7
71,KYST,1
71,MDG,18
71,NKP,0
71,PIR,5
71,PP,1
71,FOLKEM,0
74,A,624
74,SV,159
74,RØDT,27
74,SP,45
74,KRF,90
74,V,134
74,H,605
74,FRP,329
74,DEMN,2
74,KRISTNE,14
74,KYST,2
74,MDG,93
74,NKP,4
74,PIR,17
74,PP,5
74,FOLKEM,0
76,A,668
76,SV,140
76,RØDT,20
76,SP,50
76,KRF,108
76,V,134
76,H,808
76,FRP,319
76,DEMN,3
76,KRISTNE,6
76,KYST,1
76,MDG,97
76,NKP,0
76,PIR,9
76,PP,10
76,FOLKEM,3
77,A,361
77,SV,89
77,RØDT,14
77,SP,36
77,KRF,79
77,V,116
77,H,417
77,FRP,115
77,DEMN,0
77,KRISTNE,0
77,KYST,0
77,MDG,57
77,NKP,0
77,PIR,6
77,PP,5
77,FOLKEM,1
